t_us,ads_ch1,ads_ch2,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,dt0_us,dt1_us,dt2_us
722462944,6461878,6486562,13217,5798,7487,288,18,4294966647,9953,6982,11371,1341,1903,1139,14251,4294963089,8601,476,409,771,4294966722,4294966722,4294966722
722468949,6460958,6487511,13272,5902,7402,422,101,4294966742,10237,7153,11266,1466,2008,1020,14256,4294963039,8588,598,237,668,4294966718,4294966718,4294966718
722474951,6462924,6489414,13266,5975,7410,550,107,4294966859,10186,6828,11313,1411,2188,980,14198,4294963097,8565,690,148,625,4294966720,4294966720,4294966720
722480943,6464220,6491018,13203,6038,7395,586,103,4294966976,10250,6827,11272,1619,2307,853,14181,4294963198,8630,851,63,551,4294966721,4294966721,4294966721
722486970,6465586,6491508,13186,6137,7378,588,139,4294967054,10344,6958,11053,1678,2383,743,14116,4294963254,8584,1010,92,626,4294966709,4294966709,4294966709
722492963,6465691,6491866,13268,6158,7262,587,221,4294967075,10468,7131,11207,1495,2573,681,13951,4294963176,8650,1049,110,622,4294966710,4294966710,4294966710
722498958,6466595,6493419,13296,6108,7297,539,235,4294967081,10032,6782,11599,1378,2647,644,13959,4294963264,8385,1104,133,680,4294966716,4294966716,4294966716
722504946,6466425,6493192,13187,6059,7311,521,277,4294967046,10095,6903,11646,1486,2502,449,13947,4294963291,8436,869,216,698,4294966723,4294966723,4294966723
722510957,6465615,6492096,13092,6021,7428,518,283,4294966968,10156,6826,11839,1179,2361,303,13880,4294963168,8518,736,144,673,4294966712,4294966712,4294966712
722516952,6466632,6493144,13038,6082,7598,463,277,4294966955,10183,6955,11966,1001,2130,318,13901,4294963040,8548,610,210,684,4294966719,4294966719,4294966719
722522943,6467008,6493537,12874,6010,7629,385,323,4294966904,10051,6704,12174,979,1841,224,13554,4294963056,8674,654,147,552,4294966723,4294966723,4294966723
722528958,6465887,6492402,12781,6059,7717,320,360,4294966861,10013,6659,12339,748,1647,171,13805,4294962961,8411,791,4,401,4294966713,4294966713,4294966713
722534954,6466334,6493135,12784,6108,7605,288,382,4294966854,9866,6533,12457,713,1452,224,13939,4294963034,8483,941,60,364,4294966720,4294966720,4294966720
722540942,6467178,6493976,12800,6234,7381,314,353,4294966892,9897,6630,12320,572,1316,210,13692,4294963244,8510,1195,228,424,4294966726,4294966726,4294966726
722546963,6466439,6493043,13011,6089,7240,402,336,4294966947,9939,6656,12221,262,1263,274,13818,4294963362,8373,1222,169,346,4294966713,4294966713,4294966713
722552955,6466907,6493383,13134,6092,7012,871,325,4294966923,9782,6468,12068,77,1156,239,13686,4294963410,8304,1197,260,376,4294966719,4294966719,4294966719
722558950,6467182,6493636,13005,6191,6870,800,421,4294966863,9841,6458,11950,22,993,191,13535,4294963468,8439,1120,217,370,4294966719,4294966719,4294966719
722564954,6467449,6494034,13026,6273,6917,768,520,4294966833,9964,6513,11737,4294967165,994,70,13625,4294963439,8451,875,86,324,4294966715,4294966715,4294966715
722570954,6467079,6493598,13041,6161,6923,540,686,4294966827,10097,6452,11732,4294967229,1026,4294967208,13585,4294963365,8594,708,4294967273,296,4294966718,4294966718,4294966718
722576944,6467846,6495090,13521,5917,6132,1024,45,4294966919,10108,6518,11790,4294967176,960,4294967058,13771,4294963274,8672,540,4294967069,222,4294966724,4294966724,4294966724
722582949,6468338,6495263,13882,6146,5779,2022,4294965397,4294966902,9988,6344,11912,4294967199,811,4294966904,13733,4294963234,8666,427,4294966889,162,4294966724,4294966724,4294966724
