t_us,ads_ch1,ads_ch2,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,dt0_us,dt1_us,dt2_us
936872842,6468202,6480928,14095,5088,6383,4294966883,4294967244,4294966827,10653,7530,10499,1738,1365,315,14214,4294964218,7993,819,402,527,4294966722,4294966722,4294966722
936878842,6468664,6481056,14053,5136,6347,4294966997,4294967086,4294966843,10657,7620,10495,1688,1345,283,14082,4294964258,7936,622,625,364,4294966720,4294966720,4294966720
936884861,6467750,6480204,13949,5119,6279,4294967136,4294966952,4294966867,10523,7561,10492,1339,1316,239,14129,4294964314,7923,333,810,299,4294966709,4294966709,4294966709
936890850,6467456,6480035,13995,5111,6358,4294967110,4294966867,4294966861,10537,7595,10611,1085,1296,182,13934,4294964274,7874,175,936,164,4294966716,4294966716,4294966716
936896850,6467609,6479914,13954,5189,6317,4294967119,4294966818,4294966876,10547,7644,10565,840,1258,56,14012,4294964308,7826,4294967249,953,38,4294966714,4294966714,4294966714
936902840,6467246,6479581,13978,5048,6219,4294967115,4294966853,4294966913,10521,7611,10555,756,1213,44,13953,4294964260,7894,4294967059,993,4294967283,4294966725,4294966725,4294966725
936908841,6466661,6479327,14039,5149,6165,4294967139,4294966910,4294966914,10508,7655,10442,765,1085,4294967194,13860,4294964205,7917,4294966859,793,4294967174,4294966723,4294966723,4294966723
936916867,6467191,6479387,14051,5202,6317,4294966991,4294967018,4294966939,10592,7626,10513,657,1162,4294967209,13941,4294964213,8051,4294966704,615,4294967122,4294966702,4294966702,4294966702
936924867,6466952,6478510,14023,5203,6183,4294966955,4294967277,4294967010,10473,7516,10478,805,1260,4294967083,13743,4294964154,8168,4294966595,250,4294967058,4294966704,4294966704,4294966704
936932854,6466696,6478483,14017,5345,6189,4294966903,168,4294967049,10598,7858,10505,1090,1326,4294967070,13950,4294964123,8191,4294966613,4294967264,4294967135,4294966716,4294966716,4294966716
936940846,6466727,6477755,14053,5266,6224,4294966957,401,4294967107,10778,7944,10669,888,1308,4294966944,14238,4294963977,8239,4294966607,4294967007,4294967092,4294966721,4294966721,4294966721
936948846,6466247,6477868,13994,5301,6327,4294966834,533,4294967135,10658,7978,10856,1163,1109,4294967113,14129,4294963837,8408,4294966813,4294966778,4294967118,4294966720,4294966720,4294966720
936956849,6466346,6477136,13987,5335,6339,4294966903,564,4294967217,10801,7913,10888,1150,906,4294967171,14396,4294963910,8476,4294966890,4294966563,4294967105,4294966715,4294966715,4294966715
936964840,6466595,6477813,13901,5378,6371,4294966839,528,4294967220,10897,7824,10814,901,694,4294967114,14591,4294963867,8517,4294966809,4294966648,4294967116,4294966721,4294966721,4294966721
936970853,6466462,6478086,13951,5288,6421,4294966818,452,4294967214,11011,7822,10766,1065,611,4294967203,14585,4294963785,8506,4294966938,4294966722,4294967220,4294966714,4294966714,4294966714
936978841,6466479,6477380,13895,5312,6407,4294966939,326,4294967220,11006,7777,10730,865,468,4294967203,14601,4294963850,8549,4294966977,4294966953,79,4294966724,4294966724,4294966724
936984845,6466019,6477562,13985,5321,6347,4294966955,246,4294967224,10999,7717,10762,823,459,4294967173,14595,4294963809,8581,4294967056,4294967121,208,4294966715,4294966715,4294966715
936990837,6464995,6476681,13997,5171,6247,4294966960,189,4294967212,10994,7691,10681,787,519,4294967173,14546,4294963853,8651,4294967115,4294967223,256,4294966725,4294966725,4294966725
936996851,6466396,6477275,13910,5161,6234,4294966986,86,4294967197,10931,7746,10660,587,577,4294967036,14728,4294963627,8367,55,132,573,4294966713,4294966713,4294966713
937002840,6466468,6477030,13915,5152,6260,4294967008,4294967279,4294967164,10847,7380,10674,404,669,4294967026,14402,4294963933,8346,451,384,678,4294966721,4294966721,4294966721
937008866,6465880,6476532,14016,5060,6247,4294967042,4294967192,4294967166,10772,7459,10762,581,874,4294967040,14332,4294964105,8268,527,463,575,4294966703,4294966703,4294966703
937014838,6465862,6476439,14015,5102,6204,4294967127,4294967110,4294967185,10662,7468,10772,486,1067,4294967048,14333,4294963955,8387,572,499,608,4294966722,4294966722,4294966722
937020855,6466183,6477023,14079,5106,6259,4294967258,4294967068,4294967197,10644,7609,10859,676,1148,4294966986,14165,4294963980,8404,669,517,525,4294966712,4294966712,4294966712
937026830,6465832,6476807,14050,5112,6175,75,4294967084,4294967161,10700,7708,10759,219,1338,4294966902,14201,4294963942,8344,670,597,450,4294966726,4294966726,4294966726
937032852,6465815,6476812,14027,5060,6283,150,4294967184,4294967145,10601,7594,10646,317,1393,4294966995,14239,4294963915,8170,609,789,425,4294966718,4294966718,4294966718
937038859,6466157,6476975,13939,5106,6208,194,35,4294967072,10553,7674,10719,94,1571,4294966995,14093,4294963974,8040,494,906,425,4294966707,4294966707,4294966707
937044841,6466078,6477435,13948,5132,6298,226,171,4294967050,10482,7627,10543,279,1502,4294967026,13999,4294964067,8092,162,945,272,4294966722,4294966722,4294966722
