t_us,ads_ch1,ads_ch2,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,dt0_us,dt1_us,dt2_us
53482966,6459163,6468745,15159,3559,3617,4294967100,4294966393,4294966980,11407,7704,9783,830,358,4294967283,15071,4294963948,5643,4294967029,546,4294967139,4294966710,4294966710,4294966710
53488959,6458995,6470150,15121,3555,3452,4294966986,4294966173,4294966979,11315,7620,9695,779,173,4294967180,15014,4294963898,5797,4294966921,442,4294967110,4294966712,4294966712,4294966712
53494946,6459799,6471797,15186,3528,3453,4294966994,4294965958,4294967030,11370,7722,9731,607,56,4294967101,15028,4294963840,5913,4294966828,365,4294967138,4294966722,4294966722,4294966722
53500973,6461677,6472639,15247,3567,3223,4294967102,4294965801,4294967104,11197,7585,9761,517,130,4294967009,15199,4294963799,5765,4294966658,353,4294967064,4294966707,4294966707,4294966707
53506969,6461210,6472692,15257,3733,2983,120,4294965718,4294967232,11200,7604,9739,626,337,4294966881,15134,4294963644,6023,4294966488,283,4294967104,4294966709,4294966709,4294966709
53512948,6460513,6472677,15321,3909,2977,330,4294965770,102,11103,7626,9663,572,441,4294966734,15241,4294963618,6081,4294966349,4294967254,4294967108,4294966723,4294966723,4294966723
53518941,6462142,6472902,15345,4035,3063,426,4294965983,253,11128,7643,9696,487,445,4294966602,15333,4294963445,6164,4294966339,4294967000,4294967025,4294966726,4294966726,4294966726
53524962,6461974,6473019,15249,4100,3126,485,4294966173,460,11245,7575,9842,499,407,4294966490,15357,4294963325,6195,4294966231,4294966827,4294966970,4294966713,4294966713,4294966713
53530938,6460848,6473178,15151,4240,3197,401,4294966335,608,11253,7668,10143,687,378,4294966366,15310,4294963345,6335,4294966232,4294966620,4294966776,4294966724,4294966724,4294966724
53536947,6461882,6472965,15116,4303,3391,368,4294966497,741,11276,7625,10246,813,206,4294966295,15218,4294963254,6540,4294966354,4294966441,4294966610,4294966721,4294966721,4294966721
53542941,6462222,6472967,15047,4340,3365,198,4294966494,899,11200,7762,10130,802,70,4294966266,15110,4294963207,6663,4294966619,4294966318,4294966521,4294966727,4294966727,4294966727
53548953,6461035,6473084,15184,4446,3446,196,4294966488,1090,11313,7819,9866,552,4294967225,4294966216,14980,4294963228,6600,4294966835,4294966273,4294966402,4294966714,4294966714,4294966714
53554942,6461282,6473414,15253,4391,3132,139,4294966463,1290,11382,7796,9539,248,4294967225,4294966101,14748,4294963255,6530,4294967004,4294966316,4294966413,4294966726,4294966726,4294966726
53560947,6462438,6473330,15403,4411,3123,251,4294966483,1430,11337,7626,9395,163,4294967024,4294966124,14578,4294963285,6501,4294967007,4294966454,4294966472,4294966721,4294966721,4294966721
53566971,6462007,6473592,15449,4386,3095,253,4294966557,1528,11399,7534,9417,79,4294966939,4294966139,14430,4294963332,6549,4294966917,4294966664,4294966541,4294966707,4294966707,4294966707
53572958,6460780,6473512,15541,4325,3108,133,4294966724,1530,11337,7558,9380,227,4294966640,4294966174,14427,4294963315,6542,4294966750,4294966945,4294966655,4294966715,4294966715,4294966715
53578971,6462244,6473988,15615,4122,3145,4294967228,4294967023,1515,11483,7637,9383,232,4294966515,4294966095,14318,4294963292,6625,4294966626,4294967194,4294966750,4294966707,4294966707,4294966707
53586955,6461110,6473433,15564,3771,3337,4294966842,61,1282,11489,7672,9531,431,4294966365,4294966135,14352,4294963384,6612,4294966452,18,4294966861,4294966717,4294966717,4294966717
53592952,6461433,6474435,15601,3576,3379,4294966523,329,1056,11433,7705,9390,643,4294966262,4294966122,14424,4294963580,6463,4294966356,4294967234,4294966877,4294966716,4294966716,4294966716
53598966,6462789,6474458,15457,3530,3473,4294966269,533,826,11518,7801,9405,714,4294966232,4294966182,14584,4294963572,6366,4294966344,4294967139,4294966942,4294966709,4294966709,4294966709
53604944,6462776,6474566,15344,3430,3558,4294966054,554,687,11427,7772,9416,668,4294966231,4294966092,14664,4294963532,6270,4294966364,4294966975,4294967004,4294966724,4294966724,4294966724
53610963,6461457,6475010,15199,3364,3775,4294965927,479,569,11445,7640,9358,650,4294966258,4294966212,14794,4294963650,6129,4294966462,4294966782,4294967010,4294966710,4294966710,4294966710
53616952,6462412,6475565,15118,3369,3744,4294965968,291,557,11507,7755,9369,761,4294966205,4294966305,14859,4294963566,6173,4294966588,4294966594,4294967060,4294966719,4294966719,4294966719
53622957,6463141,6475461,14981,3401,3824,4294966038,4294967281,570,11677,7806,9387,785,4294966246,4294966442,14876,4294963429,6207,4294966779,4294966466,4294967117,4294966716,4294966716,4294966716
53630953,6461398,6475028,14832,3628,3900,4294966258,4294966755,638,11772,7783,9453,1004,4294965878,4294966791,14738,4294963232,6449,4294966967,4294966288,4294967165,4294966721,4294966721,4294966721
53638952,6463471,6476355,15207,3701,3837,4294966239,4294966238,739,11911,7867,9579,1047,4294965932,4294966977,14575,4294963190,6538,4294967116,4294966198,4294967218,4294966719,4294966719,4294966719
53646951,6462509,6475334,15007,3691,3858,4294966598,4294966218,1000,11933,7927,9718,981,4294965858,4294967124,14501,4294963256,6617,4294967196,4294966155,4294967250,4294966716,4294966716,4294966716
53654946,6462344,6476092,15140,3718,3951,4294966735,4294966071,1143,12006,7911,9635,809,4294965784,45,14579,4294963268,6505,4294967228,4294966151,39,4294966720,4294966720,4294966720
53660949,6463960,6476840,15195,3733,3885,4294966631,4294966039,1114,11940,7947,9621,695,4294965652,220,14792,4294963264,6494,4294967256,4294966173,115,4294966719,4294966719,4294966719
53666952,6462771,6475858,15227,3567,3820,4294966602,4294966073,1103,11918,7916,9639,550,4294965611,347,14888,4294963366,6493,4294967257,4294966143,193,4294966721,4294966721,4294966721
53672960,6461645,6475513,15221,3538,3741,4294966537,4294966144,1033,11785,7851,9568,481,4294965593,415,15008,4294963351,6528,23,4294966025,235,4294966712,4294966712,4294966712
53678953,6462981,6475455,15388,3459,3671,4294966517,4294966219,953,11729,7816,9624,464,4294965640,472,15094,4294963357,6595,86,4294965840,293,4294966718,4294966718,4294966718
53684946,6462737,6475366,15425,3443,3551,4294966559,4294966286,871,11708,7807,9515,507,4294965704,515,15099,4294963376,6588,171,4294965669,344,4294966721,4294966721,4294966721
53690955,6461058,6475015,15400,3488,3607,4294966595,4294966284,751,11543,7777,9484,586,4294965786,554,15090,4294963428,6700,245,4294965517,397,4294966717,4294966717,4294966717
53696943,6461817,6474871,15425,3546,3625,4294966584,4294966303,666,11603,7748,9443,693,4294965839,563,15089,4294963382,6809,324,4294965350,416,4294966726,4294966726,4294966726
53702949,6462376,6474856,15449,3693,3572,4294966566,4294966310,603,11601,7790,9446,825,4294965887,542,15054,4294963415,6717,450,4294965265,460,4294966720,4294966720,4294966720
53708941,6460756,6474248,15419,3784,3627,4294966549,4294966408,595,11555,7798,9503,949,4294965898,593,15099,4294963479,6706,522,4294965178,470,4294966724,4294966724,4294966724
53714945,6460932,6473813,15424,3892,3646,4294966602,4294966445,613,11564,7753,9531,1100,4294965881,582,14922,4294963477,6739,604,4294965154,512,4294966720,4294966720,4294966720
53720953,6461736,6473299,15352,4032,3790,4294966641,4294966430,676,11531,7777,9576,1200,4294965855,602,14899,4294963403,6834,643,4294965131,466,4294966718,4294966718,4294966718
53726956,6461266,6473241,15245,4039,3785,4294966702,4294966380,769,11522,7710,9587,1268,4294965815,611,14848,4294963433,6588,638,4294965149,436,4294966715,4294966715,4294966715
53732950,6460433,6473615,15237,4021,3782,4294966747,4294966270,864,11512,7650,9691,1322,4294965788,593,14894,4294963510,6477,573,4294965195,414,4294966722,4294966722,4294966722
53738955,6461622,6473640,15138,4014,3834,4294966788,4294966136,975,11468,7699,9724,1359,4294965716,604,14926,4294963582,6452,381,4294965232,416,4294966717,4294966717,4294966717
53744955,6461704,6473476,15101,3936,3827,4294966798,4294965965,1079,11490,7674,9688,1383,4294965647,576,14993,4294963579,6293,200,4294965250,445,4294966716,4294966716,4294966716
53750947,6459995,6473416,15097,3820,3730,4294966790,4294965770,1143,11530,7647,9594,1416,4294965574,534,15021,4294963595,6118,4294967291,4294965247,427,4294966724,4294966724,4294966724
53756963,6461017,6473474,15119,3699,3618,4294966760,4294965614,1179,11472,7571,9555,1377,4294965511,479,15066,4294963621,5897,4294967144,4294965257,426,4294966712,4294966712,4294966712
53762948,6461925,6473445,15121,3651,3598,4294966733,4294965435,1239,11478,7470,9738,1443,4294965473,407,15082,4294963618,5703,4294967173,4294965249,378,4294966723,4294966723,4294966723
53768948,6460963,6473622,15216,3659,3413,4294966773,4294965316,1322,11396,7504,9697,1571,4294965463,370,15174,4294963612,5820,4294967267,4294965233,432,4294966723,4294966723,4294966723
53774950,6461300,6473878,15302,3660,3277,4294966755,4294965254,1403,11364,7613,9533,1715,4294965498,288,15300,4294963662,6053,14,4294965101,298,4294966723,4294966723,4294966723
53780958,6462356,6473834,15410,3677,3202,4294966848,4294965174,1538,11408,7758,9414,1878,4294965544,271,15348,4294963663,6109,106,4294964959,194,4294966711,4294966711,4294966711
53786957,6461197,6474164,15422,3681,3140,4294966931,4294965105,1706,11374,7812,9247,1961,4294965552,228,15316,4294963626,5933,185,4294964962,75,4294966719,4294966719,4294966719
53792939,6460458,6473659,15481,3760,2980,4294967083,4294965226,1831,11540,7839,9226,1936,4294965473,219,15327,4294963630,5844,234,4294964982,4294967218,4294966725,4294966725,4294966725
53798949,6461771,6473593,15475,3688,2998,4294967114,4294965303,1974,11596,7878,9178,1966,4294965453,145,15261,4294963684,5785,154,4294964989,4294967125,4294966722,4294966722,4294966722
53804954,6461913,6473874,15461,3740,2903,4294967161,4294965419,2092,11608,7831,9084,1986,4294965377,99,15334,4294963703,5731,73,4294965015,4294967034,4294966717,4294966717,4294966717
53810943,6460217,6473497,15471,3669,2794,4294967121,4294965588,2208,11659,7827,8894,1832,4294965252,29,15315,4294963671,5648,4294967265,4294965078,4294966938,4294966725,4294966725,4294966725
53816966,6460374,6473213,15375,3638,2859,4294967196,4294965751,2311,11688,7744,8815,1737,4294965146,4294967282,15333,4294963626,5552,4294967208,4294965061,4294966874,4294966711,4294966711,4294966711
53824948,6461141,6473271,15390,3471,2961,4294967082,4294965773,2374,11734,7817,8744,1617,4294965083,4294967218,15292,4294963597,5443,4294967131,4294965013,4294966746,4294966718,4294966718,4294966718
53832967,6460458,6474007,15259,3312,2861,4294966995,4294965708,2426,11758,7919,8674,1528,4294964975,4294967191,15372,4294963598,5399,4294967066,4294965009,4294966628,4294966708,4294966708,4294966708
53840967,6462048,6473944,15145,3159,2927,4294966875,4294965469,2441,11862,7911,8584,1486,4294964888,4294967186,15327,4294963576,5160,4294966975,4294964908,4294966550,4294966708,4294966708,4294966708
53848947,6460027,6473279,15142,2982,2909,4294966871,4294965175,2412,11946,7941,8512,1516,4294964797,4294967183,15457,4294963605,5084,4294966933,4294964846,4294966546,4294966720,4294966720,4294966720
53856952,6460981,6473537,15245,2847,2860,4294967139,4294964803,2422,11965,7973,8418,1585,4294964724,4294967210,15529,4294963656,4948,4294966945,4294964808,4294966529,4294966716,4294966716,4294966716
53864949,6461312,6473615,15215,2896,2885,4294967181,4294964466,2377,11962,8031,8350,1572,4294964678,4294967217,15584,4294963756,4946,4294966981,4294964747,4294966539,4294966721,4294966721,4294966721
53872929,6460410,6474017,15462,2952,2779,4294967267,4294964281,2487,11968,8148,8408,1586,4294964612,4294967200,15572,4294963778,4998,4294966960,4294964711,4294966634,4294966732,4294966732,4294966732
